"filename", "language", "HTML", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\Home.html", "HTML", 22, 0, 0, 0, 2, 1, 25
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\WebSite.html", "HTML", 81, 0, 0, 0, 5, 7, 93
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab0.html", "HTML", 143, 0, 0, 0, 2, 19, 164
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab1.html", "HTML", 150, 0, 0, 0, 2, 23, 175
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab2.html", "HTML", 197, 0, 0, 0, 2, 22, 221
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\index.html", "HTML", 104, 0, 0, 0, 9, 6, 119
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\headers\bodyFon.js", "JavaScript", 0, 0, 26, 0, 4, 5, 35
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\home\animatedAlgoritm.js", "JavaScript", 0, 0, 223, 0, 19, 31, 273
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab0\codeReviu.js", "JavaScript", 0, 0, 13, 0, 0, 0, 13
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab1\server1.js", "JavaScript", 0, 0, 33, 0, 2, 2, 37
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab2\server2.js", "JavaScript", 0, 0, 29, 0, 1, 3, 33
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\loader.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\IndexStyle\header.css", "CSS", 0, 0, 0, 98, 7, 18, 123
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\IndexStyle\main.css", "CSS", 0, 0, 0, 107, 7, 15, 129
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\home.css", "CSS", 0, 0, 0, 110, 4, 15, 129
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\lab0\lab0.css", "CSS", 0, 0, 0, 131, 0, 21, 152
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\root.css", "CSS", 0, 0, 0, 65, 3, 9, 77
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\webSite.css", "CSS", 0, 0, 0, 158, 6, 25, 189
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\check-svgrepo-com.svg", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\free-icon-font-calculator-simple-10489562.svg", "XML", 0, 2, 0, 0, 0, 1, 3
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\free-icon-font-graduation-cap-3914115.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\heart-svgrepo-com.svg", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\home-svgrepo-com.svg", "XML", 0, 2, 0, 0, 0, 0, 2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\struct-16-svgrepo-com.svg", "XML", 0, 4, 0, 0, 0, 0, 4
"Total", "-", 697, 13, 324, 669, 75, 224, 2002
