"filename", "language", "Java", "HTML", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab1\HeapSort.class", "Java", 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab1\HeapSort.java", "Java", 36, 0, 0, 0, 0, 24, 9, 69
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab1\Lab1Handler$SortResponse.class", "Java", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab1\Lab1Handler.class", "Java", 44, 0, 0, 0, 0, 0, 0, 44
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab1\Lab1Handler.java", "Java", 75, 0, 0, 0, 0, 8, 19, 102
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab1\models\SortRequest.class", "Java", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab1\models\SortRequest.java", "Java", 13, 0, 0, 0, 0, 6, 5, 24
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\HeapSort.class", "Java", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\HeapSort.java", "Java", 51, 0, 0, 0, 0, 3, 14, 68
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\HeapSortAnalyzer$AnalysisResult.class", "Java", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\HeapSortAnalyzer.class", "Java", 28, 0, 0, 0, 0, 0, 0, 28
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\HeapSortAnalyzer.java", "Java", 54, 0, 0, 0, 0, 0, 12, 66
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\Lab2Handler.class", "Java", 45, 0, 0, 0, 0, 0, 0, 45
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\Lab2Handler.java", "Java", 79, 0, 0, 0, 0, 0, 18, 97
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\models\AnalyzeRequest.class", "Java", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\lab2\models\AnalyzeRequest.java", "Java", 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\server\MainServer.class", "Java", 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\server\MainServer.java", "Java", 20, 0, 0, 0, 0, 4, 6, 30
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\server\Router.class", "Java", 24, 0, 0, 0, 0, 0, 0, 24
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Java\server\Router.java", "Java", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\Home.html", "HTML", 0, -22, 0, 0, 0, -2, -1, -25
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\WebSite.html", "HTML", 0, -81, 0, 0, 0, -5, -7, -93
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab0.html", "HTML", 0, -143, 0, 0, 0, -2, -19, -164
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab1.html", "HTML", 0, -150, 0, 0, 0, -2, -23, -175
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab2.html", "HTML", 0, -197, 0, 0, 0, -2, -22, -221
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\index.html", "HTML", 0, -104, 0, 0, 0, -9, -6, -119
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\headers\bodyFon.js", "JavaScript", 0, 0, 0, -26, 0, -4, -5, -35
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\home\animatedAlgoritm.js", "JavaScript", 0, 0, 0, -223, 0, -19, -31, -273
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab0\codeReviu.js", "JavaScript", 0, 0, 0, -13, 0, 0, 0, -13
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab1\server1.js", "JavaScript", 0, 0, 0, -33, 0, -2, -2, -37
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab2\server2.js", "JavaScript", 0, 0, 0, -29, 0, -1, -3, -33
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\loader.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
