Date : 2025-05-10 20:35:02
Directory : c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork
Total : 72 files,  2170 codes, 105 comments, 271 blanks, all 2546 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |          9 |        839 |         26 |         97 |        962 |
| CSS        |          7 |        701 |         27 |        106 |        834 |
| JavaScript |          5 |        462 |         40 |         63 |        565 |
| Java       |         45 |        155 |         12 |          4 |        171 |
| XML        |          6 |         13 |          0 |          1 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |         72 |      2,170 |        105 |        271 |      2,546 |
| backend                                                                                                                           |         33 |       -145 |         12 |          4 |       -129 |
| backend (Files)                                                                                                                   |          1 |         25 |          1 |          8 |         34 |
| backend\Handler                                                                                                                   |          6 |        170 |         13 |         39 |        222 |
| backend\Handler (Files)                                                                                                           |          3 |        151 |         11 |         32 |        194 |
| backend\Handler\dto                                                                                                               |          3 |         19 |          2 |          7 |         28 |
| backend\Java                                                                                                                      |         20 |       -591 |        -45 |        -93 |       -729 |
| backend\Java\lab1                                                                                                                 |          7 |       -205 |        -38 |        -34 |       -277 |
| backend\Java\lab1 (Files)                                                                                                         |          5 |       -180 |        -32 |        -29 |       -241 |
| backend\Java\lab1\models                                                                                                          |          2 |        -25 |         -6 |         -5 |        -36 |
| backend\Java\lab2                                                                                                                 |          9 |       -309 |         -3 |        -48 |       -360 |
| backend\Java\lab2 (Files)                                                                                                         |          7 |       -294 |         -3 |        -44 |       -341 |
| backend\Java\lab2\models                                                                                                          |          2 |        -15 |          0 |         -4 |        -19 |
| backend\Java\server                                                                                                               |          4 |        -77 |         -4 |        -11 |        -92 |
| backend\algorithms                                                                                                                |          3 |        189 |         25 |         35 |        249 |
| backend\service                                                                                                                   |          2 |         33 |          9 |         10 |         52 |
| backend\utils                                                                                                                     |          1 |         29 |          9 |          5 |         43 |
| frontend                                                                                                                          |         27 |      2,015 |         93 |        267 |      2,375 |
| frontend (Files)                                                                                                                  |          3 |        207 |         15 |         14 |        236 |
| frontend\html                                                                                                                     |          6 |        632 |         11 |         83 |        726 |
| frontend\scripts                                                                                                                  |          5 |        462 |         40 |         63 |        565 |
| frontend\scripts\home                                                                                                             |          1 |        223 |         19 |         31 |        273 |
| frontend\scripts\lab0                                                                                                             |          1 |         13 |          0 |          0 |         13 |
| frontend\scripts\lab1                                                                                                             |          1 |         78 |          8 |          8 |         94 |
| frontend\scripts\lab2                                                                                                             |          1 |         67 |          9 |          9 |         85 |
| frontend\scripts\lab3                                                                                                             |          1 |         81 |          4 |         15 |        100 |
| frontend\styles                                                                                                                   |          7 |        701 |         27 |        106 |        834 |
| frontend\styles (Files)                                                                                                           |          4 |        367 |         13 |         52 |        432 |
| frontend\styles\IndexStyle                                                                                                        |          2 |        203 |         14 |         33 |        250 |
| frontend\styles\lab0                                                                                                              |          1 |        131 |          0 |         21 |        152 |
| frontend\svg                                                                                                                      |          6 |         13 |          0 |          1 |         14 |
